"term","description","name"
"=","assignment operator","Operators"
"<-","assignment operator",
"|>","pipe operator (base R)",
"+","addition",
"-","subtraction",
"*","multiplication",
"/","division",
"%%","remainder",
"%/%","quotient",
"^","exponent",
">","greater than",
"<","less than",
"<=","greater than or equal to",
">=","less than or equal to",
"==","equal to",
"!=","not equal to",
"&","logical AND",
"|","logical OR",
"!","logical NOT",
":","sequence of integers",
"%in%","identify if element is in vector",
"%*%","multiply matrix with its transpose",
